source,target,type
Dukka KC,paper_plm-dbps:_enhanced_dna-binding_protein_predi,AUTHORED
Dukka KC,paper_improving_protein_succinylation_sites_predic,AUTHORED
Dukka KC,paper_interpretable_structured_learning_with_spars,AUTHORED
Dukka KC,Feng Cui,COAUTHORED_WITH
Dukka KC,Rui Li,COAUTHORED_WITH
Dukka KC,paper_bayesian_neighborhood_adaptation_for_graph_n,AUTHORED
Dukka KC,paper_predicting_biomedical_interactions_with_high,AUTHORED
Naveen Sharma,paper_potential_function_in_a_continuous_dissipati,AUTHORED
Naveen Sharma,Bo Yuan,COAUTHORED_WITH
Naveen Sharma,Zhiqiang Tao,COAUTHORED_WITH
Naveen Sharma,paper_a_policy-based_approach_to_the_specaugment_m,AUTHORED
Naveen Sharma,Weijie Zhao,COAUTHORED_WITH
Naveen Sharma,Olivia Nuccitelli,COAUTHORED_WITH
Naveen Sharma,paper_bitnet.cpp:_efficient_edge_inference_for_ter,AUTHORED
Naveen Sharma,Linwei Wang,COAUTHORED_WITH
Naveen Sharma,paper_pollmgraph:_unraveling_hallucinations_in_lar,AUTHORED
Naveen Sharma,paper_contribution_of_high_risk_groups'_unmet_need,AUTHORED
Naveen Sharma,Sumita Mishra,COAUTHORED_WITH
Naveen Sharma,paper_huizhou_hadron_spectrometer_--_a_proposed_hi,AUTHORED
Naveen Sharma,Naveen Sharma,COAUTHORED_WITH
Naveen Sharma,Pengcheng Shi,COAUTHORED_WITH
Naveen Sharma,Haibo Yang,COAUTHORED_WITH
Naveen Sharma,Zhe Yu,COAUTHORED_WITH
Naveen Sharma,Xueling Zhang,COAUTHORED_WITH
Naveen Sharma,paper_circnn:_accelerating_and_compressing_deep_ne,AUTHORED
Naveen Sharma,Yiming Tang,COAUTHORED_WITH
Naveen Sharma,Scott Franklin,COAUTHORED_WITH
Naveen Sharma,paper_shelving_it_rather_than_ditching_it:_dynamic,AUTHORED
Naveen Sharma,Rui Li,COAUTHORED_WITH
Naveen Sharma,Ruth Denolo,COAUTHORED_WITH
Naveen Sharma,paper_malware_knowledge_graph_generation,AUTHORED
Naveen Sharma,paper_observation_of_the_suppressed_$λ_b^0\to_d_p_,AUTHORED
Naveen Sharma,Michele McGrath,COAUTHORED_WITH
Naveen Sharma,Maria Jose Cepeda Garcia,COAUTHORED_WITH
Naveen Sharma,Dennis Murphy,COAUTHORED_WITH
Naveen Sharma,Yin Pan,COAUTHORED_WITH
Naveen Sharma,Parul Patel,COAUTHORED_WITH
Naveen Sharma,Hallie Littlefield-Topham,COAUTHORED_WITH
Naveen Sharma,Fran Broderick,COAUTHORED_WITH
Naveen Sharma,Justus Robertson,COAUTHORED_WITH
Naveen Sharma,Drew Saur,COAUTHORED_WITH
Naveen Sharma,Lauren Shields,COAUTHORED_WITH
Naveen Sharma,Richard Hailstone,COAUTHORED_WITH
Naveen Sharma,Lu Sun,COAUTHORED_WITH
Naveen Sharma,John Thomas,COAUTHORED_WITH
Naveen Sharma,Beth Livecchi,COAUTHORED_WITH
Naveen Sharma,Gabriela Diaz,COAUTHORED_WITH
Naveen Sharma,Shevette Wilson,COAUTHORED_WITH
Naveen Sharma,Derui Zhu,COAUTHORED_WITH
Naveen Sharma,paper_modma_dataset:_a_multi-modal_open_dataset_fo,AUTHORED
Naveen Sharma,paper_plug-and-play_training_framework_for_prefere,AUTHORED
Naveen Sharma,paper_juno_sensitivity_to_the_annihilation_of_mev_,AUTHORED
Naveen Sharma,Casey Miller,COAUTHORED_WITH
Naveen Sharma,Chao Peng,COAUTHORED_WITH
Naveen Sharma,Mihail Barbosu,COAUTHORED_WITH
Naveen Sharma,Renee Walker,COAUTHORED_WITH
Naveen Sharma,Matt Dye,COAUTHORED_WITH
Naveen Sharma,paper_benchmarking_the_cow_with_the_topcow_challen,AUTHORED
Naveen Sharma,Yinxi Liu,COAUTHORED_WITH
Naveen Sharma,Tae Oh,COAUTHORED_WITH
Naveen Sharma,Yangming Lee,COAUTHORED_WITH
Naveen Sharma,Kristen Shinohara,COAUTHORED_WITH
Naveen Sharma,Ji Hwan Park,COAUTHORED_WITH
Naveen Sharma,Lingwei Chen,COAUTHORED_WITH
Naveen Sharma,Feng Cui,COAUTHORED_WITH
Naveen Sharma,paper_tuna:_a_static_analysis_approach_to_optimizi,AUTHORED
Naveen Sharma,paper_be_a_multitude_to_itself:_a_prompt_evolution,AUTHORED
Naveen Sharma,paper_ntire_2020_challenge_on_nonhomogeneous_dehaz,AUTHORED
Naveen Sharma,Hidy Kong,COAUTHORED_WITH
Naveen Sharma,Moumita Das,COAUTHORED_WITH
Naveen Sharma,paper_unireason_1.0:_a_unified_reasoning_framework,AUTHORED
Naveen Sharma,Xinchao Song,COAUTHORED_WITH
Naveen Sharma,Siyuan Wang,COAUTHORED_WITH
Naveen Sharma,paper_chasing_gravitational_waves_with_the_cherenk,AUTHORED
Naveen Sharma,David Sanchez,COAUTHORED_WITH
Naveen Sharma,paper_mass_testing_and_characterization_of_20-inch,AUTHORED
Naveen Sharma,paper_sculptor:_empowering_llms_with_cognitive_age,AUTHORED
Naveen Sharma,Ting Cao,COAUTHORED_WITH
Naveen Sharma,paper_model-independent_study_of_structure_in_$b^+,AUTHORED
Naveen Sharma,paper_a_unified_neural_network_approach_to_e-comme,AUTHORED
Naveen Sharma,paper_deepgen_1.0:_a_lightweight_unified_multimoda,AUTHORED
Naveen Sharma,paper_very_low-mass_stellar_and_substellar_compani,AUTHORED
Naveen Sharma,Lana Verschage,COAUTHORED_WITH
Naveen Sharma,Liz Martin,COAUTHORED_WITH
Naveen Sharma,Carlos Diaz-Acosta,COAUTHORED_WITH
Naveen Sharma,paper_amplitude_analysis_of_the_$b^+\to_d^+d^-k^+$,AUTHORED
Naveen Sharma,paper_dante:_predicting_insider_threat_using_lstm_,AUTHORED
Naveen Sharma,paper_touchstone_benchmark:_are_we_on_the_right_wa,AUTHORED
Naveen Sharma,paper_seerattention-r:_sparse_attention_adaptation,AUTHORED
Naveen Sharma,paper_bootseer:_analyzing_and_mitigating_initializ,AUTHORED
Naveen Sharma,paper_llm-pysc2:_starcraft_ii_learning_environment,AUTHORED
Naveen Sharma,paper_a_survey_on_the_memory_mechanism_of_large_la,AUTHORED
Naveen Sharma,paper_deep_domain_adaptation:_a_sim2real_neural_ap,AUTHORED
Naveen Sharma,Alexander Ororbia,COAUTHORED_WITH
Naveen Sharma,paper_neural_episodic_control_with_state_abstracti,AUTHORED
Naveen Sharma,paper_tool-integrated_reinforcement_learning_for_r,AUTHORED
Naveen Sharma,paper_repair:_automated_program_repair_with_proces,AUTHORED
Naveen Sharma,paper_chatmusician:_understanding_and_generating_m,AUTHORED
Naveen Sharma,Pengfei Li,COAUTHORED_WITH
Naveen Sharma,paper_a_new_method_in_facial_registration_in_clini,AUTHORED
Naveen Sharma,paper_large_language_models_struggle_with_unreason,AUTHORED
Naveen Sharma,paper_federated_learning_enables_big_data_for_rare,AUTHORED
Naveen Sharma,Lawrence Hill,COAUTHORED_WITH
Naveen Sharma,paper_towards_understanding_quality_challenges_of_,AUTHORED
Naveen Sharma,paper_transflow:_transformer_as_flow_learner,AUTHORED
Naveen Sharma,Dongfang Liu,COAUTHORED_WITH
Naveen Sharma,paper_beyond_benchmarks:_the_economics_of_ai_infer,AUTHORED
Naveen Sharma,paper_visual_agents_as_fast_and_slow_thinkers,AUTHORED
Naveen Sharma,paper_a_survey_of_reinforcement_learning_for_large,AUTHORED
Naveen Sharma,paper_multi-class_segmentation_of_aortic_branches_,AUTHORED
Naveen Sharma,paper_hauntattack:_when_attack_follows_reasoning_a,AUTHORED
Naveen Sharma,paper_parameter-efficient_masking_networks,AUTHORED
Naveen Sharma,paper_ultra-high_mobility_semiconducting_epitaxial,AUTHORED
Naveen Sharma,paper_nextou:_efficient_topology-aware_u-net_for_m,AUTHORED
Naveen Sharma,paper_infrastructure_ombudsman:_mining_future_fail,AUTHORED
Naveen Sharma,Ashique KhudaBukhsh,COAUTHORED_WITH
Naveen Sharma,paper_age_of_processing:_age-driven_status_samplin,AUTHORED
Naveen Sharma,paper_a_survey_on_in-context_learning,AUTHORED
Naveen Sharma,paper_convolutional_neural_network_compression_via,AUTHORED
Naveen Sharma,Jamison Heard,COAUTHORED_WITH
Naveen Sharma,paper_very_low_mass_stellar_and_substellar_compani,AUTHORED
Naveen Sharma,paper_lotrec:_a_recommender_for_urban_vacant_lot_c,AUTHORED
Naveen Sharma,paper_meanfuser:_fast_one-step_multi-modal_traject,AUTHORED
Naveen Sharma,paper_stem:_a_stochastic_two-sided_momentum_algori,AUTHORED
Naveen Sharma,paper_tenet:_an_efficient_sparsity-aware_lut-centr,AUTHORED
Naveen Sharma,"paper_juno_sensitivity_to_$^7$be,_$pep$,_and_cno_s",AUTHORED
Naveen Sharma,paper_real-time_monitoring_for_the_next_core-colla,AUTHORED
Naveen Sharma,paper_simulation_of_the_background_from_$^{13}$c$(,AUTHORED
Naveen Sharma,paper_observations_of_forbush_decreases_of_cosmic_,AUTHORED
Naveen Sharma,Vincenzo Buonomo,COAUTHORED_WITH
Naveen Sharma,paper_3-d_selection_of_167_sub-stellar_companions_,AUTHORED
Naveen Sharma,Matthew Wright,COAUTHORED_WITH
Naveen Sharma,paper_extending_the_atomic_decomposition_and_many-,AUTHORED
Naveen Sharma,paper_litar:_visually_coherent_lighting_for_mobile,AUTHORED
Naveen Sharma,paper_supergpqa:_scaling_llm_evaluation_across_285,AUTHORED
Naveen Sharma,Kelly Vincent-Brunacini,COAUTHORED_WITH
Naveen Sharma,M. Mustafa Rafique,COAUTHORED_WITH
Naveen Sharma,paper_don't_touch_what_matters:_task-aware_lipschi,AUTHORED
Naveen Sharma,paper_steadydancer:_harmonized_and_coherent_human_,AUTHORED
Naveen Sharma,paper_flexible_bisel/nio-based_x-ray_synapses_brid,AUTHORED
Naveen Sharma,paper_the_plastic_scintillator_detector_at_dampe,AUTHORED
Naveen Sharma,paper_teachbench:_a_syllabus-grounded_framework_fo,AUTHORED
Naveen Sharma,paper_t-mac:_cpu_renaissance_via_table_lookup_for_,AUTHORED
Naveen Sharma,paper_centerline_boundary_dice_loss_for_vascular_s,AUTHORED
Naveen Sharma,paper_gemini:_a_family_of_highly_capable_multimoda,AUTHORED
Naveen Sharma,Sorim Chung,COAUTHORED_WITH
Naveen Sharma,Reynold Bailey,COAUTHORED_WITH
Naveen Sharma,Linda Searing,COAUTHORED_WITH
Naveen Sharma,Daqing Hou,COAUTHORED_WITH
Naveen Sharma,Rhonda Baker,COAUTHORED_WITH
Naveen Sharma,Gene Wolfe,COAUTHORED_WITH
Naveen Sharma,Cecilia Alm,COAUTHORED_WITH
Naveen Sharma,Thomas Borrelli,COAUTHORED_WITH
Naveen Sharma,Mohan Kumar,COAUTHORED_WITH
Naveen Sharma,Richard Zanibbi,COAUTHORED_WITH
Naveen Sharma,Charles Gruener,COAUTHORED_WITH
Naveen Sharma,Scott Johnson,COAUTHORED_WITH
Naveen Sharma,Sean Boyle,COAUTHORED_WITH
Naveen Sharma,Sten McKinzie,COAUTHORED_WITH
Naveen Sharma,Taylor Dixon,COAUTHORED_WITH
Naveen Sharma,Jeremy Brown,COAUTHORED_WITH
Naveen Sharma,Christopher Lewis,COAUTHORED_WITH
Naveen Sharma,Jansen Orfan,COAUTHORED_WITH
Naveen Sharma,Austin Willoughby,COAUTHORED_WITH
Naveen Sharma,Nirmala Shenoy,COAUTHORED_WITH
Naveen Sharma,Andre Hudson,COAUTHORED_WITH
Naveen Sharma,Jacquis Webb,COAUTHORED_WITH
Naveen Sharma,paper_model_independent_approach_of_the_juno_$^8$b,AUTHORED
Naveen Sharma,paper_monomeric_machine_learning_potential_for_gen,AUTHORED
Naveen Sharma,Qi Yu,COAUTHORED_WITH
Naveen Sharma,paper_blm-guard:_explainable_multimodal_ad_moderat,AUTHORED
Naveen Sharma,paper_neoantigen-specific_cytotoxic_tr1_cd4_t_cell,AUTHORED
Naveen Sharma,Xumin Liu,COAUTHORED_WITH
Naveen Sharma,paper_exact_mapping_noisy_van_der_pol_type_oscilla,AUTHORED
Naveen Sharma,paper_juno_sensitivity_to_invisible_decay_modes_of,AUTHORED
Naveen Sharma,paper_the_sages_critical_view_of_safety_challenge:,AUTHORED
Naveen Sharma,paper_a_novel_concentric_tube_steerable_drilling_r,AUTHORED
Naveen Sharma,paper_community_needs_and_assets:_a_computational_,AUTHORED
Naveen Sharma,paper_neuroverse3d:_developing_in-context_learning,AUTHORED
Naveen Sharma,paper_onesearch:_a_preliminary_exploration_of_the_,AUTHORED
Naveen Sharma,paper_simulation_of_radiation_environment_for_the_,AUTHORED
Naveen Sharma,paper_unica:_adapting_time_series_foundation_model,AUTHORED
Naveen Sharma,paper_biomedical_image_analysis_competitions:_the_,AUTHORED
Naveen Sharma,Jill Flanagan,COAUTHORED_WITH
Naveen Sharma,Zilin Bian,COAUTHORED_WITH
Naveen Sharma,paper_minimax-m1:_scaling_test-time_compute_effici,AUTHORED
Naveen Sharma,paper_first_measurement_of_reactor_neutrino_oscill,AUTHORED
Naveen Sharma,Richard DeMartino,COAUTHORED_WITH
Naveen Sharma,paper_score:_benchmarking_long-chain_reasoning_in_,AUTHORED
Naveen Sharma,paper_constructive_proof_of_global_lyapunov_functi,AUTHORED
Naveen Sharma,paper_uncertainty_quantification_in_medical_image_,AUTHORED
Naveen Sharma,paper_prediction_of_energy_resolution_in_the_juno_,AUTHORED
Naveen Sharma,paper_luna:_a_model-based_universal_analysis_frame,AUTHORED
Naveen Sharma,paper_hd-ndes:_neural_differential_equations_for_h,AUTHORED
Naveen Sharma,paper_why_is_the_winner_the_best?,AUTHORED
Naveen Sharma,paper_legal_evalutions_and_challenges_of_large_lan,AUTHORED
Naveen Sharma,"paper_design_and_initial_results_from_the_""junior""",AUTHORED
Naveen Sharma,paper_boosting_dnn_cold_inference_on_edge_devices,AUTHORED
Naveen Sharma,paper_an_empirical_study_on_llm-based_agents_for_a,AUTHORED
Naveen Sharma,paper_do_vision-language_models_have_internal_worl,AUTHORED
Naveen Sharma,paper_exploring_adversarial_robustness_of_deep_sta,AUTHORED
Naveen Sharma,paper_structured_weight_matrices-based_hardware_ac,AUTHORED
Naveen Sharma,paper_towards_ultra-high_performance_and_energy_ef,AUTHORED
Naveen Sharma,paper_enhancing_eye_feature_estimation_from_event_,AUTHORED
Naveen Sharma,paper_venue-based_hiv_testing_at_sex_work_hotspots,AUTHORED
Naveen Sharma,paper_t-man:_enabling_end-to-end_low-bit_llm_infer,AUTHORED
Naveen Sharma,paper_humanity's_last_exam,AUTHORED
Naveen Sharma,Arthur Nunes,COAUTHORED_WITH
Naveen Sharma,Hanif Rahbari,COAUTHORED_WITH
Naveen Sharma,W Michelle Harris,COAUTHORED_WITH
Naveen Sharma,Dan Phillips,COAUTHORED_WITH
Naveen Sharma,David Long,COAUTHORED_WITH
Naveen Sharma,Zachary Butler,COAUTHORED_WITH
Naveen Sharma,David Messinger,COAUTHORED_WITH
Naveen Sharma,Dean Ganskop,COAUTHORED_WITH
Naveen Sharma,Peter Hauser,COAUTHORED_WITH
Naveen Sharma,paper_aligning_llms_through_multi-perspective_user,AUTHORED
Naveen Sharma,paper_bending_the_scaling_law_curve_in_large-scale,AUTHORED
Naveen Sharma,paper_fitness_aligned_structural_modeling_enables_,AUTHORED
Naveen Sharma,paper_fuxi-air:_urban_air_quality_forecasting_base,AUTHORED
David I. Schwartz,paper_cancer_diagnosis_categorization_in_electroni,AUTHORED
David I. Schwartz,paper_contribution_of_high_risk_groups'_unmet_need,AUTHORED
